lp__,treedepth__,stepsize__,alpha,beta,sigma_noise
1.25834,2,8.83221,7.83866,-3.38966,6.10755
1.25834,1,8.83221,7.83866,-3.38966,6.10755
1.25834,1,8.83221,7.83866,-3.38966,6.10755
0.389816,2,8.83221,11.1693,4.05966,3.14371
0.959066,2,8.83221,-7.35542,-2.28599,3.76866
0.959066,1,8.83221,-7.35542,-2.28599,3.76866
0.959066,2,8.83221,-7.35542,-2.28599,3.76866
-1.3711,2,8.83221,4.00286,24.7999,8.67603
-0.954947,2,8.83221,-9.35909,-21.3674,8.14844
-1.10566,2,8.83221,10.0058,-19.0244,3.55259
0.635787,1,8.83221,1.93525,-10.8307,3.70492
0.687884,1,8.83221,-3.105,7.26878,2.8301
0.854346,1,8.83221,-7.58666,-1.41731,3.34747
0.854346,1,8.83221,-7.58666,-1.41731,3.34747
0.854346,1,8.83221,-7.58666,-1.41731,3.34747
-0.00618397,2,8.83221,10.5113,-6.3107,21.5676
0.244197,2,8.83221,-10.8449,9.05522,3.71013
-1.05404,1,8.83221,-19.9943,-6.68711,3.40935
-1.53366,2,8.83221,22.8662,8.04419,4.50778
-0.558107,2,8.83221,-9.05924,19.286,7.15726
-0.558107,1,8.83221,-9.05924,19.286,7.15726
0.0561539,2,8.83221,3.66072,-17.8655,7.26296
0.0561539,1,8.83221,3.66072,-17.8655,7.26296
0.59941,2,8.83221,-2.91803,-15.1974,9.24818
0.59941,1,8.83221,-2.91803,-15.1974,9.24818
-0.684091,2,8.83221,12.1152,15.367,18.3151
-1.24544,2,8.83221,-5.46483,-22.6504,4.89929
0.989469,2,8.83221,-0.700574,10.7365,15.1746
0.290038,2,8.83221,-2.40487,-11.41,2.73846
0.317236,2,8.83221,-5.47415,15.7929,13.1076
0.317236,1,8.83221,-5.47415,15.7929,13.1076
0.317236,2,8.83221,-5.47415,15.7929,13.1076
0.317236,2,8.83221,-5.47415,15.7929,13.1076
0.317236,2,8.83221,-5.47415,15.7929,13.1076
0.317236,2,8.83221,-5.47415,15.7929,13.1076
0.0347445,2,8.83221,-14.2859,-11.652,7.50643
0.0347445,2,8.83221,-14.2859,-11.652,7.50643
-0.634397,2,8.83221,15.4876,13.3983,16.302
-0.634397,2,8.83221,15.4876,13.3983,16.302
0.741616,2,8.83221,-4.11071,-12.85,6.40234
0.883097,2,8.83221,6.32649,-0.607264,19.3888
-3.11433,2,8.83221,27.5495,-13.7126,6.08535
-0.346918,2,8.83221,13.8081,15.3382,8.62463
0.804194,2,8.83221,7.46634,-6.51084,3.94615
0.942987,2,8.83221,11.5919,3.67197,6.75659
1.2452,2,8.83221,-3.81515,-5.24375,4.81279
-0.525908,2,8.83221,8.89915,8.65842,1.28815
-0.525908,2,8.83221,8.89915,8.65842,1.28815
0.255719,1,8.83221,4.30513,6.43924,1.77072
0.134752,1,8.83221,-1.30291,-5.34318,1.34314
0.476037,1,8.83221,-5.87839,-8.26595,20.0352
0.476037,3,8.83221,-5.87839,-8.26595,20.0352
0.769084,2,8.83221,11.3949,5.91324,5.83059
0.999242,2,8.83221,10.916,-4.01506,13.7514
1.31749,2,8.83221,-1.92365,-0.134662,4.14541
-1.45507,1,8.83221,-20.3143,10.403,18.9272
-1.07142,2,8.83221,19.2738,-13.6269,7.19332
-1.79175,2,8.83221,21.5488,-9.88859,2.88821
-0.741323,2,8.83221,0.708726,2.07734,0.488683
-0.741323,1,8.83221,0.708726,2.07734,0.488683
-0.597369,1,8.83221,-6.44733,19.8659,5.74872
-0.0185975,2,8.83221,-4.587,14.6032,18.9018
-0.0185975,2,8.83221,-4.587,14.6032,18.9018
-0.0185975,2,8.83221,-4.587,14.6032,18.9018
-0.0185975,1,8.83221,-4.587,14.6032,18.9018
-1.38393,2,8.83221,21.1544,-11.3197,5.06641
0.121993,2,8.83221,-11.1042,13.2422,14.5991
-2.30133,2,8.83221,27.6355,2.14049,5.39676
0.356603,2,8.83221,11.6337,-12.3794,9.45513
0.356603,1,8.83221,11.6337,-12.3794,9.45513
-0.262575,2,8.83221,-15.2562,13.3992,10.615
-0.262575,1,8.83221,-15.2562,13.3992,10.615
-0.262575,1,8.83221,-15.2562,13.3992,10.615
1.45988,1,8.83221,-4.95652,6.5849,9.45192
0.827319,2,8.83221,6.16105,10.7209,5.81878
0.862179,2,8.83221,13.4689,-1.99785,8.86578
1.31355,1,8.83221,8.0344,-1.30997,6.32932
1.31355,1,8.83221,8.0344,-1.30997,6.32932
1.31355,2,8.83221,8.0344,-1.30997,6.32932
-2.04708,1,8.83221,16.1571,-11.6609,0.94414
0.0223848,2,8.83221,-17.0228,-7.51785,12.2828
-0.726634,2,8.83221,13.2014,-11.1237,2.19809
0.858837,2,8.83221,-4.09349,-3.66339,2.85938
0.790622,2,8.83221,-7.84225,-10.4979,6.37478
-0.453966,2,8.83221,-6.7732,18.4855,16.0878
-0.515597,2,8.83221,-0.72883,-18.5873,3.59323
-0.515597,1,8.83221,-0.72883,-18.5873,3.59323
0.905876,2,8.83221,1.28026,-5.71541,19.4425
0.905876,3,8.83221,1.28026,-5.71541,19.4425
0.905876,2,8.83221,1.28026,-5.71541,19.4425
0.0919435,2,8.83221,4.12858,4.97357,1.36363
-0.124658,1,8.83221,-4.26621,12.2705,2.09842
0.394455,1,8.83221,-10.6503,-3.16218,2.8652
